合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,404.60,406.20,404.60,405.51,2.80,0.70%,405.68,186.00,"75,514,900.00",-,,
Au99.99,403.40,406.75,403.40,405.79,2.10,0.52%,405.81,"13,618.82","5,478,254,264.40",-,,
Au100g,402.44,406.37,402.44,405.68,1.38,0.34%,405.13,26.80,"10,857,742.00",-,,
iAu99.99,400.50,403.20,400.50,403.11,3.46,0.87%,402.46,520.42,"209,449,710.00",-,,
Au(T+D),402.42,406.20,402.42,405.50,3.27,0.81%,405.03,"8,700.00","3,523,823,040.00","167,070",空支付给多,"3,212"
Au(T+N1),-,-,-,-,,,-,0.00,0.00,448,,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"1,692",,
mAu(T+D),403.39,406.50,403.00,405.52,3.08,0.77%,405.52,"6,823.40","2,767,080,512.00","734,388",空支付给多,"49,624"
Pt99.95,233.60,233.60,232.30,232.60,-1.70,-0.73%,232.74,30.00,"6,982,200.00",-,,
Ag(T+D),"5,172","5,255","5,158","5,223",15,0.29%,"5,205","507,412.00","2,641,216,930.00","4,149,530",多支付给空,"58,530"
NYAuTN06,403.65,410.00,403.65,405.85,2.95,0.73%,406.05,130.00,"52,789,020.00","32,908",,
NYAuTN12,409.40,409.55,409.15,409.30,3.80,0.94%,409.35,14.20,"5,812,990.00",928,,
PGC30g,409.50,410.00,409.50,410.00,94.05,29.77%,409.95,0.72,"295,170.00",-,,
