id,item,open,high,low,close,up_or_down,version_date,mapping,date_number,year_number,month_number,day_number,refresh_date
4,Au9999,274.98,274.98,273.22,274.57,0.23,2017-11-08,1.0,1108,2017,11,8,2023-01-24 16:54:24
15,Au9999,274.85,275.45,274.5,275.37,0.8,2017-11-09,1.0,1109,2017,11,9,2023-01-24 16:54:24
25,Au9999,276.52,276.52,275.04,275.94,0.57,2017-11-10,1.0,1110,2017,11,10,2023-01-24 16:54:24
35,Au9999,276.9,277.21,274.7,274.99,-0.95,2017-11-13,-1.0,1113,2017,11,13,2023-01-24 16:54:24
46,Au9999,276.0,276.0,274.44,274.49,-0.5,2017-11-14,-1.0,1114,2017,11,14,2023-01-24 16:54:24
57,Au9999,274.49,275.3,273.75,275.05,0.56,2017-11-15,1.0,1115,2017,11,15,2023-01-24 16:54:24
68,Au9999,275.99,275.99,274.0,274.0,-1.05,2017-11-16,-1.0,1116,2017,11,16,2023-01-24 16:54:24
79,Au9999,275.18,275.18,274.25,274.85,0.85,2017-11-17,1.0,1117,2017,11,17,2023-01-24 16:54:24
90,Au9999,275.5,276.51,274.5,276.3,1.45,2017-11-20,1.0,1120,2017,11,20,2023-01-24 16:54:24
100,Au9999,276.79,276.79,274.66,274.89,-1.41,2017-11-21,-1.0,1121,2017,11,21,2023-01-24 16:54:24
110,Au9999,275.0,275.0,273.72,273.89,-1.12,2017-10-25,-1.0,1025,2017,10,25,2023-01-24 16:54:24
121,Au9999,273.51,274.88,273.51,274.5,0.61,2017-10-26,1.0,1026,2017,10,26,2023-01-24 16:54:24
132,Au9999,274.99,274.99,272.6,272.93,-1.57,2017-10-27,-1.0,1027,2017,10,27,2023-01-24 16:54:24
143,Au9999,273.5,273.76,272.4,272.92,-0.01,2017-10-30,-1.0,1030,2017,10,30,2023-01-24 16:54:24
154,Au9999,273.75,274.1,273.01,273.94,1.02,2017-10-31,1.0,1031,2017,10,31,2023-01-24 16:54:24
165,Au9999,274.3,274.3,272.61,273.45,-0.49,2017-11-01,-1.0,1101,2017,11,1,2023-01-24 16:54:24
176,Au9999,273.99,273.99,272.7,273.34,-0.11,2017-11-02,-1.0,1102,2017,11,2,2023-01-24 16:54:24
187,Au9999,273.5,273.98,272.81,273.6,0.26,2017-11-03,1.0,1103,2017,11,3,2023-01-24 16:54:24
198,Au9999,274.02,274.12,272.78,273.0,-0.6,2017-11-06,-1.0,1106,2017,11,6,2023-01-24 16:54:24
209,Au9999,273.65,274.77,273.1,274.34,1.34,2017-11-07,1.0,1107,2017,11,7,2023-01-24 16:54:24
