合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,415.80,418.00,415.80,417.77,3.26,0.79%,417.80,152.00,"63,506,200.00",-,,
Au99.99,415.00,418.40,413.30,417.21,2.78,0.67%,417.58,"21,708.08","9,046,840,877.60",-,,
Au100g,415.07,418.80,415.07,417.91,2.45,0.59%,417.81,12.40,"5,180,862.00",-,,
iAu99.99,412.00,416.11,412.00,415.52,3.52,0.85%,415.56,208.18,"86,511,384.00",-,,
Au(T+D),414.52,418.50,414.12,416.80,2.39,0.58%,416.89,"17,076.00","7,118,860,300.00","146,726",空支付给多,"8,010"
Au(T+N1),-,-,-,-,,,-,0.00,0.00,"60,450",,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"93,468",,
mAu(T+D),412.72,418.55,412.72,416.68,2.16,0.52%,417.24,"6,904.60","2,880,920,030.00","826,494",空支付给多,"24,274"
Pt99.95,239.45,239.45,239.45,239.45,-0.55,-0.23%,239.45,246.00,"59,336,700.00",-,,
Ag(T+D),"5,180","5,325","5,146","5,280",77,1.48%,"5,260","842,706.00","4,432,710,130.00","3,631,052",多支付给空,"3,390"
NYAuTN06,414.90,418.60,413.70,417.20,2.60,0.63%,416.55,163.20,"67,983,160.00","30,548",,
NYAuTN12,418.50,422.40,417.50,420.80,3.35,0.80%,420.85,343.00,"144,360,490.00","9,302",,
PGC30g,422.55,422.55,422.55,422.55,3.39,0.81%,422.55,0.18,"76,059.00",-,,
