version_date,title,brief,keyword,url
2022-12-23 15:16:01,“合”则共生：新氧发布2022中国透明质酸行业报告,2022年12月16日，中国医美行业大数据研究机构新氧数据颜究院正式发布后疫情时代首份行业趋势报告《2022年中国透明质酸行业报告》（以下简称报告）。,新氧 透明质酸,https://jingji.cctv.com/2022/12/23/ARTICeDoUNTRAydVpQBXjryW221223.shtml
2022-12-23 14:28:45,钢铁行业布局优化再提速 中国宝武与中钢集团启动战略重组,中国宝武钢铁集团有限公司与中国中钢集团有限公司23日启动战略重组，中钢集团整体划入中国宝武，成为其全资子公司。,钢铁产业 战略重组,https://news.cctv.com/2022/12/23/ARTInQQ3kJk70d3R9Dfrm9S7221223.shtml
2022-12-23 12:57:22,坚持系统观念、守正创新——形成共促高质量发展的合力①,明年是全面贯彻落实党的二十大精神的开局之年。做好明年经济工作，形成共促高质量发展合力，直接关系全面建设社会主义现代化国家开好局起好步。,供给冲击 经济工作 结构性改革,https://jingji.cctv.com/2022/12/23/ARTIfK8Z7AMJER5hz9AbQHRM221223.shtml
2022-12-23 11:16:04,全球连线｜2023年中国经济怎么走？在华外资这么看！,"2023年是“十四五”规划中承上启下的关键一年,也是党的二十大之后第一个完整建设年.",融合平台 经济工作,https://jingji.cctv.com/2022/12/23/ARTILfdUOl7EVXfMR6CNsvOQ221223.shtml
2022-12-23 10:45:41,前10月装备制造业利润明显回升,国家统计局近日发布数据显示：1至10月，装备制造业利润同比增长3.2%，增速较1至9月加快2.6个百分点，连续6个月回升；10月当月，装备制造业利润同比增长25.9%，实现快速增长。,装备制造业 利润,https://jingji.cctv.com/2022/12/23/ARTIiIpuUw5BapzfBx0GnBgi221223.shtml
2022-12-23 10:41:24,通过税收优惠激励企业加大研发投入 政策加力赋能创新发展,中央经济工作会议强调，要着力发展实体经济，依靠创新培育壮大发展新动能。,研发投入 创新主体 市场信心,https://jingji.cctv.com/2022/12/23/ARTIXxyXZnm7sllO30N8vhiK221223.shtml
2022-12-23 06:56:26,1年亏了4个亿，不停涨价的共享充电宝为什么不赚钱？,最近的四个季度里，怪兽充电的亏损总额已经达到了4.29亿元。,亏4亿 不停涨价 共享充电宝,https://jingji.cctv.com/2022/12/23/ARTIyWaKEPdcQ8UZm15qF3wT221223.shtml
2022-12-22 06:24:12,证监会：深入推进股票发行注册制改革,落实好已出台的房企股权融资政策，允许符合条件的房企“借壳”已上市房企，允许房地产和建筑等密切相关行业上市公司实施涉房重组。加快打造保障性租赁住房REITs板块。,证监会 股票 发行注册制 改革,https://jingji.cctv.com/2022/12/22/ARTIXwka358TTJ2MgdThthIx221222.shtml
2022-12-22 06:18:41,央行：精准有力实施好稳健的货币政策,中国人民银行21日表示，当前要精准有力实施好稳健的货币政策。综合运用公开市场操作等多种货币政策工具，保持金融体系流动性合理充裕。,央行 稳健 货币政策,https://jingji.cctv.com/2022/12/22/ARTIP7JHUwICZ7zrHAnaNohr221222.shtml
2022-12-20 09:54:47,三大“热词”透露货币政策新动向,三次下调贷款市场报价利率（LPR）、两次下调金融机构存款准备金率、增设设备更新改造专项再贷款、创设政策性开发性金融工具……今年以来，货币政策坚持稳健取向，发挥总量调节和结构调节双重功能，为实体经济提供有力支持。,金融工具 货币政策工具,https://jingji.cctv.com/2022/12/20/ARTIzZO6rLUo96oH50qXKugp221220.shtml
