version_date,title,brief,keyword,url
2023-01-17 16:23:57,西班牙骑士骑马穿越篝火 庆祝圣安东尼节,当地时间2023年1月16日，西班牙，骑士骑马穿过篝火，庆祝传统节日圣安东尼节的到来。,西班牙 骑士 骑马 篝火 圣安东尼节,https://photo.cctv.com/2023/01/17/PHOAlShzsUodlMklyCv7XxEa230117.shtml
2023-01-17 16:15:33,英国去年9月至11月失业率为3.7%,当地时间17日，英国国家统计局数据显示，截至去年11月份的前3个月内，英国失业率为3.7%。此外，该时期工资收入增长率为年化6.4%，为近10年来最大增幅，但仍赶不上通货膨胀以及生活成本增加的速度。,英国 失业率,https://news.cctv.com/2023/01/17/ARTIPAKxo6uHnrbn3mNNph0z230117.shtml
2023-01-17 16:10:18,俄副总理：2022年俄能源出口只增不减,俄罗斯副总理诺瓦克在当地时间16日的政府会议上表示，尽管受到西方制裁，俄罗斯2022年的能源出口仍只增不减，整体超出预算数十亿美元。,俄罗斯 能源出口,https://news.cctv.com/2023/01/17/ARTI0szO4zlXXkdQGZRxGgVE230117.shtml
2023-01-17 15:18:20,韩媒：韩总统室称韩日首脑有意解决搁置问题，改善双边关系,当地时间1月16日，韩国总统办公室表示，韩日领导人均有解决两国被搁置问题的意愿，并期望改善双边关系。,韩日 韩媒 双边关系 首脑 总统室 会谈 韩国总统 穿梭外交 韩两国 索赔案,https://news.cctv.com/2023/01/17/ARTI17vaV2TDdNY5hsNnSi0V230117.shtml
2023-01-17 15:11:03,泰国一油轮爆炸起火 致8名工人失踪附近房屋受损,据《曼谷邮报》报道，当地时间17日9时左右，泰国警方接报称，该国中部沙没颂堪府一座船坞内，一艘正在检修的油轮起火爆炸，造成8名工人失踪，附近房屋受损。,泰国 爆炸,https://news.cctv.com/2023/01/17/ARTIxdEUgsCshO7gzrAvufvW230117.shtml
2023-01-17 14:58:06,尼泊尔民航局：已找到失事客机上70人的遗体,尼泊尔民航局当地时间1月17日确认，尼泊尔雪人航空公司失事客机上70人的遗体已被找到。,尼泊尔 民航局,https://news.cctv.com/2023/01/17/ARTIYLCYStSmIpSdco0Lf9x4230117.shtml
2023-01-17 14:55:25,马丁·雅克：西方借疫情诋毁中国完全没有依据,英国著名学者、中国问题专家马丁·雅克(Martin Jacques)日前向中新社“东西问·中外对话”表示， 中国优化调整防疫措施前后，西方都一直试图围绕疫情诋毁中国。他认为，中国三年来总体上在抗击疫情方面做得非常好，西方的诋毁完全没有依据。,优化调整 中外 问题专家 防疫 马丁·雅克,https://news.cctv.com/2023/01/17/ARTIOWhpe7ONpPXJE6GaiktA230117.shtml
2023-01-17 14:31:46,“一带一路”为全球合作创造机遇——访巴基斯坦总统阿里夫·阿尔维,近日，巴基斯坦总统阿里夫·阿尔维在巴首都伊斯兰堡接受中国媒体联合采访时表示，中国的发展经验对巴基斯坦有十分重要的借鉴意义，“一带一路”倡议正不断为全球合作创造机遇。,巴基斯坦 中国式现代化 全球治理 一带一路,https://news.cctv.com/2023/01/17/ARTIZxc1EEhrNyHGVuiiIOI3230117.shtml
2023-01-17 14:31:35,中国优化疫情防控措施 支撑世界经济复苏,随着疫情防控工作进入新阶段，中国的经济潜力和活力将进一步得到释放，对维护国际产业链供应链稳定畅通，促进各国互利合作和支撑世界经济复苏增长带来更大利好。,疫情防控 中国GDP 世界旅游 防控工作 经济增速,https://news.cctv.com/2023/01/17/ARTIgVNhtUEwcIwg7CCNEYEl230117.shtml
2023-01-17 14:26:07,部分西方媒体对中国防疫政策的抹黑经不起时间检验,加纳智库非中政策咨询中心执行主任保罗·弗林蓬说，部分西方媒体用双重标准抹黑中国疫情防控政策，其目的是“妖魔化”中国，经不起时间的检验。,防疫 疫情防控 新冠 中国 客源国 疫苗接种,https://news.cctv.com/2023/01/17/ARTIQcPssu5IaeFcJSR1eYqX230117.shtml
