id,version_date,current_value,predict_value,previous_value,refresh_date
1135,2023-01-06,--,20,26.3,2023-01-24 16:54:00
1134,2022-12-02,26.3,20,28.4,2023-01-24 16:54:00
1133,2022-11-04,26.1,20,31.5,2023-01-24 16:54:00
1132,2022-10-07,26.3,25,31.5,2023-01-24 16:54:00
1131,2022-09-02,31.5,30,52.6,2023-01-24 16:54:00
1130,2022-08-05,52.8,25,39.8,2023-01-24 16:54:00
1129,2022-07-08,37.2,26.8,38.4,2023-01-24 16:54:00
1109,2022-06-03,39,32.5,43.6,2023-01-24 16:54:00
1110,2022-05-06,42.8,39.1,42.8,2023-01-24 16:54:00
1111,2022-04-01,43.1,49,75,2023-01-24 16:54:00
1112,2022-03-04,67.8,40,48.1,2023-01-24 16:54:00
1113,2022-02-04,46.7,15,51,2023-01-24 16:54:00
1114,2022-01-07,19.9,40,24.9,2023-01-24 16:54:00
1115,2021-12-03,21,55,54.6,2023-01-24 16:54:00
1116,2021-11-05,53.1,45,31.2,2023-01-24 16:54:00
1117,2021-10-08,19.4,50,36.6,2023-01-24 16:54:00
1118,2021-09-03,23.5,75,105.3,2023-01-24 16:54:00
1119,2021-08-06,94.3,87,93.8,2023-01-24 16:54:00
1120,2021-07-02,85,70,58.3,2023-01-24 16:54:00
1121,2021-06-04,55.9,65,27.8,2023-01-24 16:54:00
1122,2021-05-07,26.6,97.8,77,2022-12-11 23:22:15
1123,2021-04-02,91.6,64.7,46.8,2022-11-06 04:45:50
1124,2021-03-05,37.9,18.2,16.6,2022-10-08 00:45:26
1125,2021-02-05,4.9,5,-22.7,2022-09-16 20:19:19
1126,2021-01-08,-14,7.1,33.6,2022-05-22 21:48:43
1127,2020-12-04,24.5,46.9,61,2022-05-22 21:48:43
1128,2020-11-06,63.8,60,67.2,2022-05-22 21:48:43
19,2020-10-02,66.1,85,148.9,2022-04-10 18:35:53
20,2020-09-04,137.1,140,173.4,2022-04-10 18:35:53
21,2020-08-07,176.3,160,479.1,2022-04-10 18:35:53
22,2020-07-02,480.0,300,269.9,2022-04-10 18:35:53
23,2020-06-05,250.9,-800,-2068.7,2022-04-10 18:35:53
24,2020-05-08,-2050.0,-2200,-87.0,2022-04-10 18:35:53
25,2020-04-03,-70.1,-10,27.5,2022-04-10 18:35:53
26,2020-03-06,27.3,17.5,27.3,2022-04-10 18:35:53
27,2020-02-07,22.5,16,14.7,2022-04-10 18:35:53
28,2020-01-10,14.5,16.4,25.6,2022-04-10 18:35:53
29,2019-12-06,26.6,18.6,15.6,2022-04-10 18:35:53
30,2019-11-01,12.8,8.9,18.0,2022-04-10 18:35:53
31,2019-10-04,13.6,14,16.8,2022-04-10 18:35:53
32,2019-09-06,13.0,16,15.9,2022-04-10 18:35:53
33,2019-08-02,16.4,16.4,19.3,2022-04-10 18:35:53
34,2019-07-05,22.4,16,7.2,2022-04-10 18:35:53
35,2019-06-07,7.5,18.5,22.4,2022-04-10 18:35:53
36,2019-05-03,26.3,18.1,18.9,2022-04-10 18:35:53
37,2019-04-05,19.6,17.5,3.3,2022-04-10 18:35:53
38,2019-03-08,2.0,18.1,31.1,2022-04-10 18:35:53
39,2019-02-01,30.4,16.5,22.2,2022-04-10 18:35:53
40,2019-01-04,31.2,17.8,17.6,2022-04-10 18:35:53
41,2018-12-07,15.5,20,23.7,2022-04-10 18:35:53
42,2018-11-02,25.0,19.3,11.8,2022-04-10 18:35:53
43,2018-10-05,13.4,18.5,27.0,2022-04-10 18:35:53
44,2018-09-07,20.1,19.1,14.7,2022-04-10 18:35:53
45,2018-08-03,15.7,19.3,24.8,2022-04-10 18:35:53
46,2018-07-06,21.3,20,24.4,2022-04-10 18:35:53
47,2018-06-01,22.3,18.9,15.9,2022-04-10 18:35:53
48,2018-05-04,16.4,18.9,13.5,2022-04-10 18:35:53
49,2018-04-06,10.3,19.3,32.6,2022-04-10 18:35:53
50,2018-03-09,31.3,20,23.9,2022-04-10 18:35:53
51,2018-02-02,20.0,18.4,16.0,2022-04-10 18:35:53
52,2018-01-05,14.8,19,25.2,2022-04-10 18:35:53
53,2017-12-08,22.8,20,24.4,2022-04-10 18:35:53
54,2017-11-03,26.1,31,1.8,2022-04-10 18:35:53
55,2017-10-06,-3.3,9,16.9,2022-04-10 18:35:53
56,2017-09-01,15.6,18,18.9,2022-04-10 18:35:53
57,2017-08-04,20.9,18.3,23.1,2022-04-10 18:35:53
58,2017-07-07,22.2,17.9,15.2,2022-04-10 18:35:53
59,2017-06-02,13.8,18.5,17.4,2022-04-10 18:35:53
60,2017-05-05,21.1,18.5,7.9,2022-04-10 18:35:53
61,2017-04-07,9.8,18,21.9,2022-04-10 18:35:53
62,2017-03-10,23.5,20,23.8,2022-04-10 18:35:53
63,2017-02-03,22.7,17.5,15.7,2022-04-10 18:35:53
64,2017-01-06,15.6,17.8,20.4,2022-04-10 18:35:53
65,2016-12-02,17.8,17.5,14.2,2022-04-10 18:35:53
66,2016-11-04,16.1,17.5,19.1,2022-04-10 18:35:53
67,2016-10-07,15.6,17.5,16.7,2022-04-10 18:35:53
68,2016-09-02,15.1,18,27.5,2022-04-10 18:35:53
69,2016-08-05,25.5,18,29.2,2022-04-10 18:35:53
70,2016-07-08,28.7,17.5,1.1,2022-04-10 18:35:53
71,2016-06-03,3.8,16.4,12.3,2022-04-10 18:35:53
72,2016-05-06,16.0,20.2,20.8,2022-04-10 18:35:53
73,2016-04-01,21.5,20.5,24.5,2022-04-10 18:35:53
74,2016-03-04,24.2,19,17.2,2022-04-10 18:35:53
75,2016-02-05,15.1,19,26.2,2022-04-10 18:35:53
76,2016-01-08,29.2,20,25.2,2022-04-10 18:35:53
77,2015-12-04,21.1,20,29.8,2022-04-10 18:35:53
78,2015-11-06,27.1,18,13.7,2022-04-10 18:35:53
79,2015-10-02,14.2,20.3,13.6,2022-04-10 18:35:53
80,2015-09-04,17.3,22,24.5,2022-04-10 18:35:53
81,2015-08-07,21.5,22.3,23.1,2022-04-10 18:35:53
82,2015-07-02,22.3,23,25.4,2022-04-10 18:35:53
83,2015-06-05,28.0,22.5,22.1,2022-04-10 18:35:53
84,2015-05-08,22.3,22.4,8.5,2022-04-10 18:35:53
85,2015-04-03,12.6,24.5,26.4,2022-04-10 18:35:53
86,2015-03-06,29.5,24,23.9,2022-04-10 18:35:53
87,2015-02-06,25.7,23.4,32.9,2022-04-10 18:35:53
88,2015-01-09,25.2,24,35.3,2022-04-10 18:35:53
89,2014-12-05,32.1,22.5,24.3,2022-04-10 18:35:53
90,2014-11-07,21.4,23.1,25.6,2022-04-10 18:35:53
91,2014-10-03,24.8,21.5,18.0,2022-04-10 18:35:53
92,2014-09-05,14.2,22.5,21.2,2022-04-10 18:35:53
93,2014-08-01,20.9,23.3,29.8,2022-04-10 18:35:53
94,2014-07-03,28.8,21.2,22.4,2022-04-10 18:35:53
95,2014-06-06,21.7,21.8,28.2,2022-04-10 18:35:53
96,2014-05-02,28.8,21,20.3,2022-04-10 18:35:53
97,2014-04-04,19.2,20,19.7,2022-04-10 18:35:53
98,2014-03-07,17.5,14.9,12.9,2022-04-10 18:35:53
99,2014-02-07,11.3,18.5,7.5,2022-04-10 18:35:53
100,2014-01-10,7.4,19.6,24.1,2022-04-10 18:35:53
101,2013-12-06,20.3,18,20.0,2022-04-10 18:35:53
102,2013-11-08,20.4,12.5,16.3,2022-04-10 18:35:53
103,2013-10-22,14.8,18,19.3,2022-04-10 18:35:53
104,2013-09-06,16.9,18,10.4,2022-04-10 18:35:53
105,2013-08-02,16.2,18.4,18.8,2022-04-10 18:35:53
106,2013-07-05,19.5,16.5,19.5,2022-04-10 18:35:53
107,2013-06-07,17.5,17,14.9,2022-04-10 18:35:53
108,2013-05-03,16.5,14.5,13.8,2022-04-10 18:35:53
109,2013-04-05,8.8,20,26.8,2022-04-10 18:35:53
110,2013-03-08,23.6,16,11.9,2022-04-10 18:35:53
111,2013-02-01,15.7,16,19.6,2022-04-10 18:35:53
112,2013-01-04,15.5,15,16.1,2022-04-10 18:35:53
113,2012-12-07,14.6,9.3,13.8,2022-04-10 18:35:53
114,2012-11-02,17.1,12.5,14.8,2022-04-10 18:35:53
115,2012-10-05,11.4,11.3,14.2,2022-04-10 18:35:53
116,2012-09-07,9.6,12.5,14.1,2022-04-10 18:35:53
117,2012-08-03,16.3,10,6.4,2022-04-10 18:35:53
118,2012-07-06,8.0,9,7.7,2022-04-10 18:35:53
119,2012-06-01,6.9,15,7.7,2022-04-10 18:35:53
120,2012-05-04,11.5,17,15.4,2022-04-10 18:35:53
121,2012-04-06,12.0,20.3,24.0,2022-04-10 18:35:53
122,2012-03-09,22.7,21,28.4,2022-04-10 18:35:53
123,2012-02-03,24.3,15,20.3,2022-04-10 18:35:53
124,2012-01-06,20.0,15,10.0,2022-04-10 18:35:53
125,2011-12-02,12.0,12,10.0,2022-04-10 18:35:53
126,2011-11-04,8.0,9.5,15.8,2022-04-10 18:35:53
127,2011-10-07,10.3,5.3,5.7,2022-04-10 18:35:53
128,2011-09-02,0.0,7.4,8.5,2022-04-10 18:35:53
129,2011-08-05,11.7,9.5,4.6,2022-04-10 18:35:53
130,2011-07-08,1.8,8.9,2.5,2022-04-10 18:35:53
